,open,high,low,close,volume
2025-08-06 12:15:00+00:00,1.16037,1.16041,1.16004,1.16038,462
2025-08-06 12:20:00+00:00,1.16036,1.1608,1.16036,1.16069,808
2025-08-06 12:25:00+00:00,1.16068,1.16072,1.16046,1.16049,426
2025-08-06 12:30:00+00:00,1.16048,1.16086,1.16038,1.16079,477
2025-08-06 12:35:00+00:00,1.1608,1.16084,1.16041,1.16064,377
2025-08-06 12:40:00+00:00,1.16064,1.16101,1.16058,1.16096,737
2025-08-06 12:45:00+00:00,1.16096,1.16198,1.16095,1.16198,783
2025-08-06 12:50:00+00:00,1.162,1.16226,1.16155,1.16225,748
2025-08-06 12:55:00+00:00,1.16226,1.16286,1.16211,1.16237,932
2025-08-06 13:00:00+00:00,1.16236,1.16284,1.16234,1.16252,941
2025-08-06 13:05:00+00:00,1.16252,1.16288,1.16234,1.16284,630
2025-08-06 13:10:00+00:00,1.16284,1.16334,1.1628,1.1633,752
2025-08-06 13:15:00+00:00,1.16327,1.1634,1.16278,1.16338,659
2025-08-06 13:20:00+00:00,1.16338,1.16346,1.16294,1.16308,569
2025-08-06 13:25:00+00:00,1.16308,1.16316,1.16244,1.16246,809
2025-08-06 13:30:00+00:00,1.16248,1.16289,1.16201,1.16201,1090
2025-08-06 13:35:00+00:00,1.16202,1.16226,1.16191,1.16206,796
2025-08-06 13:40:00+00:00,1.16208,1.16231,1.16173,1.1623,853
2025-08-06 13:45:00+00:00,1.1623,1.1627,1.16208,1.16251,808
2025-08-06 13:50:00+00:00,1.16249,1.163,1.16243,1.16278,944
2025-08-06 13:55:00+00:00,1.16279,1.1636,1.16265,1.16358,1600
2025-08-06 14:00:00+00:00,1.16359,1.16364,1.16224,1.16264,1445
2025-08-06 14:05:00+00:00,1.16263,1.16298,1.16224,1.1623,958
2025-08-06 14:10:00+00:00,1.1623,1.1629,1.1623,1.16276,704
2025-08-06 14:15:00+00:00,1.16278,1.16285,1.1624,1.16266,708
2025-08-06 14:20:00+00:00,1.16268,1.16326,1.1626,1.16324,877
2025-08-06 14:25:00+00:00,1.16322,1.16354,1.16322,1.16343,671
2025-08-06 14:30:00+00:00,1.16345,1.1635,1.16273,1.1629,814
2025-08-06 14:35:00+00:00,1.16292,1.16379,1.16256,1.1636,995
2025-08-06 14:40:00+00:00,1.1636,1.1636,1.16284,1.16294,866
2025-08-06 14:45:00+00:00,1.16294,1.16337,1.16278,1.16286,743
2025-08-06 14:50:00+00:00,1.16288,1.16308,1.16254,1.16269,975
2025-08-06 14:55:00+00:00,1.16268,1.1628,1.16238,1.16274,1181
2025-08-06 15:00:00+00:00,1.16274,1.16362,1.16248,1.16358,989
2025-08-06 15:05:00+00:00,1.1636,1.16395,1.16317,1.16384,782
2025-08-06 15:10:00+00:00,1.16386,1.16393,1.16368,1.16378,665
2025-08-06 15:15:00+00:00,1.16378,1.16444,1.16378,1.16441,759
2025-08-06 15:20:00+00:00,1.16441,1.16452,1.1637,1.16378,791
2025-08-06 15:25:00+00:00,1.16379,1.1641,1.1637,1.1639,581
2025-08-06 15:30:00+00:00,1.16391,1.164,1.16368,1.16386,822
